tag_id,trackId,individual_id,local_identifier,nick_name,event_id,timestamp,location_long,location_lat,bird_id,datetime,date,sunrise,sunset,dawn_civil,dusk_civil,dawn_astro,dusk_astro,day_night,day_crepuscule_civil_night,day_crepuscule_astro_night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18642879194,2021-05-01 08:50:00,-147.937964,-15.1239288,C01,2021-05-01T08:50:00Z,2021-05-01,2021-05-01T16:02:09.534171Z,2021-05-02T03:35:14.186892Z,2021-05-01T15:40:00.120550Z,2021-05-02T03:57:24.527687Z,2021-05-01T14:49:00.112763Z,2021-05-02T04:48:26.384014Z,night,night,night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634342,2021-05-01 08:50:52,-147.9379689,-15.1239572,C01,2021-05-01T08:50:52Z,2021-05-01,2021-05-01T16:02:09.537320Z,2021-05-02T03:35:14.186076Z,2021-05-01T15:40:00.123519Z,2021-05-02T03:57:24.527051Z,2021-05-01T14:49:00.115375Z,2021-05-02T04:48:26.383735Z,night,night,night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18642879195,2021-05-01 08:51:00,-147.9379615,-15.1239476,C01,2021-05-01T08:51:00Z,2021-05-01,2021-05-01T16:02:09.534877Z,2021-05-02T03:35:14.184973Z,2021-05-01T15:40:00.121137Z,2021-05-02T03:57:24.525888Z,2021-05-01T14:49:00.113113Z,2021-05-02T04:48:26.382451Z,night,night,night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18650249196,2021-05-01 22:00:00,-147.8609738,-14.9529111,C01,2021-05-01T22:00:00Z,2021-05-01,2021-05-01T16:01:39.181549Z,2021-05-02T03:35:07.701051Z,2021-05-01T15:39:30.845508Z,2021-05-02T03:57:16.963168Z,2021-05-01T14:48:32.973838Z,2021-05-02T04:48:16.685807Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634343,2021-05-01 22:01:02,-147.8610095,-14.9529177,C01,2021-05-01T22:01:02Z,2021-05-01,2021-05-01T16:01:39.190576Z,2021-05-02T03:35:07.709154Z,2021-05-01T15:39:30.854493Z,2021-05-02T03:57:16.971313Z,2021-05-01T14:48:32.982742Z,2021-05-02T04:48:16.694034Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18650249197,2021-05-02 21:22:00,-149.8909315,-5.9167603,C01,2021-05-02T21:22:00Z,2021-05-02,2021-05-02T15:59:39.208961Z,2021-05-03T03:53:15.096832Z,2021-05-02T15:38:06.494698Z,2021-05-03T04:14:48.724321Z,2021-05-02T14:48:12.512556Z,2021-05-03T05:04:44.776269Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634344,2021-05-02 21:22:18,-149.890944,-5.9167612,C01,2021-05-02T21:22:18Z,2021-05-02,2021-05-02T15:59:39.212022Z,2021-05-03T03:53:15.099770Z,2021-05-02T15:38:06.497757Z,2021-05-03T04:14:48.727261Z,2021-05-02T14:48:12.515612Z,2021-05-03T05:04:44.779212Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18695961894,2021-05-02 22:00:00,-149.9582899,-5.6184782,C01,2021-05-02T22:00:00Z,2021-05-02,2021-05-02T15:59:35.322335Z,2021-05-03T03:53:51.508643Z,2021-05-02T15:38:03.225072Z,2021-05-03T04:15:24.519738Z,2021-05-02T14:48:10.023587Z,2021-05-03T05:05:19.800357Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634345,2021-05-02 22:01:12,-149.9582996,-5.6185121,C01,2021-05-02T22:01:12Z,2021-05-02,2021-05-02T15:59:35.326941Z,2021-05-03T03:53:51.508671Z,2021-05-02T15:38:03.229610Z,2021-05-03T04:15:24.519834Z,2021-05-02T14:48:10.028041Z,2021-05-03T05:05:19.800535Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18695961895,2021-05-03 22:04:00,-155.4223151,6.8340985,C01,2021-05-03T22:04:00Z,2021-05-03,2021-05-03T16:07:13.847055Z,2021-05-04T04:29:52.117146Z,2021-05-03T15:45:31.571172Z,2021-05-04T04:51:35.414131Z,2021-05-03T14:54:42.740495Z,2021-05-04T05:42:26.945718Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634346,2021-05-03 22:05:02,-155.4223098,6.8341122,C01,2021-05-03T22:05:02Z,2021-05-03,2021-05-03T16:07:13.844828Z,2021-05-04T04:29:52.116839Z,2021-05-03T15:45:31.568899Z,2021-05-04T04:51:35.413871Z,2021-05-03T14:54:42.738072Z,2021-05-04T05:42:26.945608Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18695961896,2021-05-04 22:01:00,-159.0108107,19.7193908,C01,2021-05-04T22:01:00Z,2021-05-04,2021-05-04T16:05:14.413047Z,2021-05-05T05:00:33.032942Z,2021-05-04T15:42:04.996112Z,2021-05-05T05:23:43.803289Z,2021-05-04T14:46:56.341334Z,2021-05-05T06:18:56.609195Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634347,2021-05-04 22:01:52,-159.0108364,19.7194216,C01,2021-05-04T22:01:52Z,2021-05-04,2021-05-04T16:05:14.416735Z,2021-05-05T05:00:33.041614Z,2021-05-04T15:42:04.999487Z,2021-05-05T05:23:43.812277Z,2021-05-04T14:46:56.343788Z,2021-05-05T06:18:56.619109Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18695961897,2021-05-04 23:01:00,-159.1814422,20.0410414,C01,2021-05-04T23:01:00Z,2021-05-04,2021-05-04T16:05:29.424057Z,2021-05-05T05:01:40.196071Z,2021-05-04T15:42:16.695805Z,2021-05-05T05:24:54.290403Z,2021-05-04T14:46:58.333570Z,2021-05-05T06:20:16.858790Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634348,2021-05-04 23:01:18,-159.1814558,20.0410583,C01,2021-05-04T23:01:18Z,2021-05-04,2021-05-04T16:05:29.425955Z,2021-05-05T05:01:40.200715Z,2021-05-04T15:42:16.697526Z,2021-05-05T05:24:54.295224Z,2021-05-04T14:46:58.334777Z,2021-05-05T06:20:16.864129Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18695961898,2021-05-05 23:01:00,-160.5391551,21.6496805,C01,2021-05-05T23:01:00Z,2021-05-05,2021-05-05T16:08:08.722778Z,2021-05-06T05:09:44.223540Z,2021-05-05T15:44:35.768466Z,2021-05-06T05:33:18.619093Z,2021-05-05T14:48:17.515805Z,2021-05-06T06:29:41.394194Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634349,2021-05-05 23:01:24,-160.5391946,21.6497092,C01,2021-05-05T23:01:24Z,2021-05-05,2021-05-05T16:08:08.729836Z,2021-05-06T05:09:44.235467Z,2021-05-05T15:44:35.775193Z,2021-05-06T05:33:18.631352Z,2021-05-05T14:48:17.521555Z,2021-05-06T06:29:41.407436Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18695961899,2021-05-06 23:01:00,-157.9522178,21.6872744,C01,2021-05-06T23:01:00Z,2021-05-06,2021-05-06T15:57:10.891276Z,2021-05-07T04:59:51.786090Z,2021-05-06T15:33:34.860252Z,2021-05-07T05:23:29.265757Z,2021-05-06T14:37:07.032981Z,2021-05-07T06:20:01.638696Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634350,2021-05-06 23:01:30,-157.952255,21.6873036,C01,2021-05-06T23:01:30Z,2021-05-06,2021-05-06T15:57:10.897694Z,2021-05-07T04:59:51.797552Z,2021-05-06T15:33:34.866331Z,2021-05-07T05:23:29.277561Z,2021-05-06T14:37:07.038054Z,2021-05-07T06:20:01.651510Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18695961900,2021-05-07 09:01:00,-157.9495141,21.6869311,C01,2021-05-07T09:01:00Z,2021-05-07,2021-05-07T15:56:37.183967Z,2021-05-08T05:00:16.679728Z,2021-05-07T15:32:58.488592Z,2021-05-08T05:23:56.827892Z,2021-05-07T14:36:22.300984Z,2021-05-08T06:20:37.572471Z,night,night,night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18695961901,2021-05-07 09:02:00,-157.9495322,21.6869379,C01,2021-05-07T09:02:00Z,2021-05-07,2021-05-07T15:56:37.187715Z,2021-05-08T05:00:16.684673Z,2021-05-07T15:32:58.492261Z,2021-05-08T05:23:56.832917Z,2021-05-07T14:36:22.304416Z,2021-05-08T06:20:37.577734Z,night,night,night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634351,2021-05-07 09:02:04,-157.9495277,21.6869381,C01,2021-05-07T09:02:04Z,2021-05-07,2021-05-07T15:56:37.186618Z,2021-05-08T05:00:16.683610Z,2021-05-07T15:32:58.491162Z,2021-05-08T05:23:56.831857Z,2021-05-07T14:36:22.303309Z,2021-05-08T06:20:37.576680Z,night,night,night
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18712352281,2021-05-07 23:01:00,-157.9842756,21.7111782,C01,2021-05-07T23:01:00Z,2021-05-07,2021-05-07T15:56:43.405524Z,2021-05-08T05:00:27.163997Z,2021-05-07T15:33:04.425898Z,2021-05-08T05:24:07.597528Z,2021-05-07T14:36:27.394706Z,2021-05-08T06:20:49.190556Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,21074634352,2021-05-07 23:01:24,-157.9842962,21.7111797,C01,2021-05-07T23:01:24Z,2021-05-07,2021-05-07T15:56:43.410336Z,2021-05-08T05:00:27.169075Z,2021-05-07T15:33:04.430691Z,2021-05-08T05:24:07.602624Z,2021-05-07T14:36:27.399446Z,2021-05-08T06:20:49.195704Z,day,day,day
1387222390,Courlis.d.Alaska.C01..FRP.EC110531..Teraimarama,1427025072,Courlis d'Alaska C01 [FRP-EC110531] Teraimarama,Teraimarama,18712352282,2021-05-08 18:04:00,-157.9705427,21.707745,C01,2021-05-08T18:04:00Z,2021-05-08,2021-05-08T15:56:08.263559Z,2021-05-09T05:00:49.323814Z,2021-05-08T15:32:26.650692Z,2021-05-09T05:24:32.392985Z,2021-05-08T14:35:41.351421Z,2021-05-09T06:21:22.260147Z,day,day,day
